"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat", "Vire", "rivière"
"geogFeat", "Vosges ", "montagne"
"geogFeat", "Vésuve", "montagne"
"geogFeat", "Weser", "fleuve"
"geogFeat", "Weser", "fleuve"
"geogFeat", "Yonne", "rivière"
"geogFeat", "Yonne", "rivière"
"geogFeat", "Zambèze", ""
"geogFeat", "Zambèze", "fleuve"
"geogFeat", "Zambèze", "fleuve"
"geogFeat", "Zambèze", "fleuve"
"geogFeat", "Zanzibar", "lac"
"geogFeat", "Zone torride", ""
"geogFeat", "baie d'Hudson", ""
"geogFeat", "baie de Fundy", ""
"geogFeat", "baie de Carentan", ""
"geogFeat", "baie du mont Saint-Michel", ""
"geogFeat", "baie du mont Saint-Michel", ""
"geogFeat", "banc de Terre-Neuve", ""
"geogFeat", "bassin de l'Escaut", ""
"geogFeat", "bassin du Cher supérieur", ""
"geogFeat", "bords de la Loire", "fleuve"
"geogFeat", "canal de Saint-Quentin", ""
"geogFeat", "collines", ""
"geogFeat", "côte anglaise", ""
"geogFeat", "eaux du Nord", ""
"geogFeat", "falaises de Normandie", ""
"geogFeat", "forêt du Mans", "forêt"
"geogFeat", "golfe Persique", ""
"geogFeat", "golfe d'Oman", ""
"geogFeat", "isthme de Suez", ""
"geogFeat", "isthme de Suez", ""
"geogFeat", "l'Esclave", "lac"
"geogFeat", "la mer d'Hudson", "mer"
"geogFeat", "lac Ngami", ""
"geogFeat", "lac Tanganyika", "lac"
"geogFeat", "lac Tchad", ""
"geogFeat", "lac Mouéro", "lac"
"geogFeat", "lac Supérieur", "lac"
"geogFeat", "lac Supérieur", "lac"
"geogFeat", "lac Tanganyika", "lac"
"geogFeat", "lac Tchad", ""
"geogFeat", "lac Victoria", "lac"
"geogFeat", "lacs Victoria", "lac"
"geogFeat", "landes de Bretagne", ""
"geogFeat", "le golfe", ""
"geogFeat", "le Pirée", ""
"geogFeat", "les Landes", "forêt"
"geogFeat", "massif des Cévennes", "montagne"
"geogFeat", "mer d'Hudson", "mer"
"geogFeat", "mer Caspienne", "mer"
"geogFeat", "mer Rouge", "mer"
"geogFeat", "mer Rouge", "mer"
"geogFeat", "mer de Baffin", "mer"
"geogFeat", "mer du Nord", "mer"
"geogFeat", "mer du Nord", "mer"
"geogFeat", "mer du Nord", "mer"
"geogFeat", "mer du Nord", "mer"
"geogFeat", "mer du Sud", "mer"
"geogFeat", "monts d'Auvergne", "montagne"
"geogFeat", "monts du Charolais", "montagne"
"geogFeat", "monts du Morvan", "montagne"
"geogFeat", "océan Indien", "océan"
"geogFeat", "plaine de Caen", ""
"geogFeat", "plaine garonnaise", ""
"geogFeat", "presqu'ile de Cotentin", ""
"geogFeat", "presqu'ile de Cotentin", ""
"geogFeat", "tropiques", ""
"geogFeat", "vallée de la Loire", ""
"geogFeat", "vallée de la Meuse", ""
"geogFeat", "vallée du Rhône", ""
"geogFeat", "Égypte", ""
"geogFeat", "équateur", ""
"geogFeat", "équateur", ""
"persName", "", "fictif"
"persName", "", "historique"
"persName", "", "historique"
"persName", " Philémon", "fictif"
"persName", " M. Dumay", "fictif"
"persName", "A. DE MUSSET", "historique"
"persName", "A. DE MUSSET", "historique"
"persName", "Abd-el-Kader", "historique"
"persName", "Abd-el-kader", "historique"
"persName", "Adèle", "fictif"
"persName", "Adèle", "fictif"
"persName", "Adèle de Vermandois", "historique"
"persName", "Albertino Vespucci", "historique"
"persName", "Américain", "fictif"
"persName", "Américain", "fictif"
"persName", "Américain", "fictif"
"persName", "Androclès", "historique"
"persName", "Androclès", "historique"
"persName", "Androclès", "historique"
"persName", "Androclès", "historique"
"persName", "Androclès", "historique"
"persName", "Androclès", "historique"
"persName", "Anglais John", "fictif"
"persName", "Antiope", "fictif"
"persName", "Antiope", "fictif"
"persName", "Antiope", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Antoine", "fictif"
"persName", "Arkwright", "historique"
"persName", "Arkwright", "historique"
"persName", "Artaban", "fictif"
"persName", "Artaban", "fictif"
"persName", "Attila", "historique"
"persName", "Audot", "historique"
"persName", "Audot", "historique"
"persName", "Auguste", "fictif"
"persName", "Auguste", "historique"
"persName", "BONAPARTE", "historique"
"persName", "BOUCHARDAT", "historique"
"persName", "BUFFON", "historique"
"persName", "Baker", "historique"
"persName", "Baker", "historique"
"persName", "Baker", "historique"
"persName", "Baptiste Gardinet", "fictif"
"persName", "Barth", "historique"
"persName", "Barth", "historique"
"persName", "Barthélemy Thimonier", "historique"
"persName", "Baucis", "fictif"
"persName", "Baucis", "fictif"
"persName", "Benoit", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît", "fictif"
"persName", "Benoît ", "fictif"
"persName", "Bernard Palissy", "historique"
"persName", "Bernard Palissy", "historique"
"persName", "Bernard Palissy", "historique"
"persName", "Bernard Palissy", "historique"
"persName", "Berthier", "historique"
"persName", "Blount", "historique"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bo-ba", "fictif"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte", "historique"
"persName", "Bonaparte Napoléon", "historique"
"persName", "Boscowitz", "historique"
"persName", "Bossuet", "historique"
"persName", "Brazza", "historique"
"persName", "Brazza", "historique"
"persName", "Brazza", "historique"
"persName", "Bruant", "historique"
"persName", "Bruce", "historique"
"persName", "Brunehaut", "historique"
"persName", "Brunehaut", "historique"
"persName", "Brunehaut", "historique"
"persName", "Brunehaut", "historique"
"persName", "Brunehaut", "historique"
"persName", "Brunswick", "historique"
"persName", "Brémontier", "historique"
"persName", "Brémontier", "historique"
"persName", "Brémontier", "historique"
"persName", "Buffon", "historique"
"persName", "Buffon", "historique"
"persName", "Burton", "historique"
"persName", "Burton", "historique"
"persName", "BÉRANGER", "historique"
"persName", "BÉRANGER", "historique"
"persName", "CHÉRUEL", "historique"
"persName", "COUSIN", "historique"
"persName", "Caillaud", "historique"
"persName", "Caillié", "historique"
"persName", "Caillié", "historique"
"persName", "Calvin", "historique"
"persName", "Cameron", "historique"
"persName", "Cameron", "historique"
"persName", "Carnot", "historique"
"persName", "Carnot", "historique"
"persName", "Carnot", "historique"
"persName", "Cartier", "fictif"
"persName", "Cartier", "fictif"
"persName", "Castor", "fictif"
"persName", "Castor", "fictif"
"persName", "Castor", "fictif"
"persName", "Castor", "fictif"
