"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "E. LAPORTE", "historique"
"placeName", "Angleterre", ""
"persName", "Suzette", "fictif"
"persName", "Charlot", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Ludivine", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "François", "fictif"
"persName", "Ludivine", "fictif"
"persName", "François", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Audot", "historique"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "François", "fictif"
"placeName", "France", ""
"placeName", "Plombières", ""
"placeName", "Bussang", ""
"placeName", "Vichy", ""
"placeName", "Contrexéville", ""
"placeName", "mont Dore", ""
"placeName", "Bourboule", ""
"placeName", "Royat", ""
"placeName", "Uriage", ""
"placeName", "Chaudesaigues", ""
"placeName", "Aix en Provence", ""
"placeName", "Bourbonne-les-Bains", ""
"placeName", "Bagnères", ""
"placeName", "Barèges", ""
"placeName", "Aulus", ""
"placeName", "Enghien", ""
"placeName", "Paris", ""
"placeName", "Saint-Galmier", ""
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mademoiselle Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Valon", "fictif"
"persName", "Suzette", "fictif"
"persName", "M. Valon", "fictif"
"persName", "François", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"persName", "Jacques", "fictif"
"persName", "Jacques", "fictif"
"persName", "Franck", "historique"
"persName", "M. Legouvé", "historique"
"persName", "De Sandis", "historique"
"placeName", "Italie", ""
"persName", "Vessiot", "historique"
"placeName", "Normandie", ""
"placeName", "Bretagne", ""
"placeName", "Brie", ""
"placeName", "Camembert", ""
"placeName", "Epoisses", ""
"placeName", "Rollot", ""
"placeName", "Gérardmer", ""
"placeName", "Auvergne", ""
"placeName", "Neufchâtel", ""
"placeName", "Gruyère", ""
"geogFeat", "Jura", "montagne"
"placeName", "France", ""
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"persName", "Jacques", "fictif"
"placeName", "Europe", ""
"placeName", "Amérique", ""
"persName", "Jacques", "fictif"
"placeName", "France", ""
"placeName", "Amérique", ""
"persName", "M. Dumay", "fictif"
"persName", "Jacques", "fictif"
"persName", "Suzette", "fictif"
"placeName", "Amérique", ""
"placeName", "États-Unis", ""
"persName", "Jacques", "fictif"
"placeName", "France", ""
"placeName", "Amérique", ""
"placeName", "Amérique", ""
"placeName", "Europe", ""
"placeName", "Atlantique", ""
"placeName", "Amérique septentrionale", "réel"
"placeName", "Amérique méridionale", "réel"
"placeName", "l'isthme de Panama", ""
"persName", "M. de Lesseps", "historique"
"placeName", "l'isthme de Suez", ""
"placeName", "États-Unis", ""
"placeName", "Amérique", ""
"placeName", "Le continent américain", ""
"persName", "Christophe Colomb", ""
"placeName", "Calvi", ""
"placeName", "Corse", ""
"placeName", "Indes", ""
"persName", "Henri VII, roi d'Angleterre", ""
"persName", "Colomb", "historique"
"persName", "Jean II", "historique"
"placeName", "Portugal", ""
"placeName", "France", ""
"placeName", "Allemagne", ""
"persName", "Colomb", "historique"
"placeName", "Espagne", ""
"persName", "Isabelle", "historique"
"persName", "Ferdinand", "historique"
"placeName", "Espagne", ""
"persName", "Pérez", "historique"
"persName", "Penzone", "historique"
"persName", "Colomb", "historique"
"placeName", "Palos", ""
"placeName", "Andalousie", ""
"placeName", "Amérique", ""
"placeName", "Lucayes", ""
"persName", "Colomb", "historique"
"placeName", "San-Salvador", ""
"placeName", "Lucayes", ""
"placeName", "Cuba", ""
"placeName", "Haïti", ""
"placeName", "Saint-Domingue", ""
"placeName", "Amérique", ""
"persName", "Albertino Vespucci", "historique"
"persName", "Kang-Hi", "historique"
"persName", "Suzette", "fictif"
"persName", "Kang-Hi", "historique"
"placeName", "Chine", ""
"placeName", "Chine", ""
"placeName", "Mongolie", ""
"persName", "Suzette", "fictif"
"persName", "Kang-Hi", "historique"
"persName", "Kang-Hi", "historique"
"placeName", "Chine", ""
"placeName", "Chine", ""
"placeName", "Chine", ""
"placeName", "Asie", ""
"placeName", "Europe", ""
"placeName", "Péking", ""
"placeName", "Han-kéou", ""
"placeName", "Nan-king", ""
"placeName", "Nan-tchang", ""
"placeName", "Sou-tchéou", ""
"placeName", "Shang-haï", ""
"placeName", "Canton", ""
"placeName", "Tien-Tsin", ""
"placeName", "Chine", ""
"placeName", "Europe", ""
"placeName", "&gt;Hindoustan", ""
"placeName", "Chine", ""
"placeName", "Indo-Chine", ""
"placeName", "Japon", ""
"placeName", "Lombardie", ""
"placeName", "Pô", ""
"geogFeat", "Pô", "rivière"
"persName", "M. Dumay", "fictif"
"persName", "Kang-Hi", "historique"
"persName", "Jacques", "fictif"
"persName", "Charlot", "fictif"
"persName", "Charlot", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"persName", "François", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Kang-Hi", "historique"
"persName", "Jacques", "fictif"
"persName", "François", "fictif"
"persName", "Charlot", "fictif"
"placeName", "France", ""
"placeName", "Versailles", ""
"placeName", "Sibérie", ""
"placeName", "Californie", ""
"placeName", "Pérou", ""
"placeName", "Australie", ""
"placeName", "Etats-Unis", ""
"placeName", "Mexique", ""
"placeName", "Pérou", ""
"placeName", "Potosi", ""
"placeName", "Espagne", ""
"placeName", "lac Supérieur", ""
"geogFeat", "lac Supérieur", "lac"
"placeName", "Chili", ""
"persName", "Suzette", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette", "fictif"
"persName", "François", "fictif"
"placeName", "Fragicourt", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "M.", "fictif"
"persName", "Mme Valon", "fictif"
"persName", "Ludivine", "fictif"
"persName", "M. Dumay", "fictif"
"persName", "Suzette", "fictif"
"persName", "L. LAPORTE", "historique"
"persName", "Suzette", "fictif"
